15	1	5	3	9
15	1	6	5	2
15	2	5	8	5
15	2	6	2	3
15	3	5	8	9
15	3	6	5	3
15	4	1	1	4
15	4	4	12	11
15	4	5	10	14
15	4	6	13	7
15	5	1	6	7
15	5	4	12	10
15	5	5	11	1
15	5	6	14	4
15	6	1	13	6
15	6	4	4	9
15	6	5	1	14
15	6	6	11	10
16	1	5	2	13
16	1	6	7	8
16	2	5	12	2
16	2	6	7	13
16	3	5	8	12
16	3	6	2	7
16	4	1	6	4
16	4	4	14	3
16	4	5	11	9
16	4	6	5	10
16	5	1	1	6
16	5	4	14	11
16	5	5	10	9
16	5	6	5	4
16	6	1	1	3
16	6	4	12	6
16	6	5	14	9
16	6	6	5	11
17	1	5	13	8
17	1	6	10	1
17	2	5	2	8
17	2	6	13	10
17	3	5	1	2
17	3	6	8	10
17	4	1	6	3
17	4	4	7	4
17	4	5	12	9
17	4	6	11	5
17	5	1	14	12
17	5	4	6	5
17	5	5	4	3
17	5	6	7	9
17	6	1	14	11
17	6	4	13	3
17	6	5	6	9
17	6	6	7	12
